"DATA_LEVEL","SCHOOL_YEAR","REPORTING_PERIOD","DISTRICT_NUMBER","DISTRICT_NAME","EMPLOYMENT_CATEGORY","GENDER","HEADCOUNT","FTE","AVERAGE_AGE","AVERAGE_ANNUAL_SALARY_PER_FTE"
"District level","2013/2014","Q1","005","Southeast Kootenay","Administrator","All","35","35","50","103120"
"District level","2013/2014","Q1","005","Southeast Kootenay","Administrator","F","15","15","50","103889"
"District level","2013/2014","Q1","005","Southeast Kootenay","Administrator","M","20","20","50","102543"
"District level","2013/2014","Q1","005","Southeast Kootenay","Educator","All","367","344.476","45","72482"
"District level","2013/2014","Q1","005","Southeast Kootenay","Educator","M","97","94.302","46","77907"
"District level","2013/2014","Q1","005","Southeast Kootenay","Teacher","All","332","309.476","45","69807"
"District level","2013/2014","Q1","005","Southeast Kootenay","Teacher","F","255","235.174","44","68990"
"District level","2013/2014","Q1","006","Rocky Mountain","Administrator","All","28","27.2","48","101837"
"District level","2013/2014","Q1","006","Rocky Mountain","Administrator","F","16","16","47","100841"
"District level","2013/2014","Q1","006","Rocky Mountain","Administrator","M","12","11.2","50","103164"
"District level","2013/2014","Q1","006","Rocky Mountain","Educator","All","214","196.4305","43","71702"
"District level","2013/2014","Q1","006","Rocky Mountain","Educator","F","152","138.9108","43","70133"
"District level","2013/2014","Q1","006","Rocky Mountain","Educator","M","62","57.5197","46","75432"
"District level","2013/2014","Q1","006","Rocky Mountain","Teacher","All","186","169.2305","43","67586"
"District level","2013/2014","Q1","006","Rocky Mountain","Teacher","M","50","46.3197","45","69593"
"District level","2013/2014","Q1","008","Kootenay Lake","Administrator","F","16","16","50","96084"
"District level","2013/2014","Q1","008","Kootenay Lake","Administrator","M","20","19","50","100171"
"District level","2013/2014","Q1","008","Kootenay Lake","Educator","All","328","292.2885","46","73628"
"District level","2013/2014","Q1","008","Kootenay Lake","Educator","M","113","104.036","47","76555"
"District level","2013/2014","Q1","008","Kootenay Lake","Teacher","All","295","257.2885","46","70904"
"District level","2013/2014","Q1","008","Kootenay Lake","Teacher","F","201","172.2525","45","70368"
"District level","2013/2014","Q1","008","Kootenay Lake","Teacher","M","94","85.036","46","72068"
"District level","2013/2014","Q1","010","Arrow Lakes","Administrator","All","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","010","Arrow Lakes","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","010","Arrow Lakes","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","010","Arrow Lakes","Educator","All","48","43.2858","47","74019"
"District level","2013/2014","Q1","010","Arrow Lakes","Educator","F","35","31.6872","49","74697"
"District level","2013/2014","Q1","010","Arrow Lakes","Teacher","All","41","36.2858","47","69225"
"District level","2013/2014","Q1","010","Arrow Lakes","Teacher","F","29","25.6872","49","69456"
"District level","2013/2014","Q1","010","Arrow Lakes","Teacher","M","12","10.5986","42","68654"
"District level","2013/2014","Q1","019","Revelstoke","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","019","Revelstoke","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","019","Revelstoke","Educator","F","50","45.279","40","67213"
"District level","2013/2014","Q1","019","Revelstoke","Educator","M","24","22.929","47","81031"
"District level","2013/2014","Q1","019","Revelstoke","Teacher","F","48","43.279","40","66223"
"District level","2013/2014","Q1","019","Revelstoke","Teacher","M","18","17.929","46","75167"
"District level","2013/2014","Q1","020","Kootenay-Columbia","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","020","Kootenay-Columbia","Educator","All","251","234.728","46","72881"
"District level","2013/2014","Q1","020","Kootenay-Columbia","Educator","F","178","167.004","46","70583"
"District level","2013/2014","Q1","020","Kootenay-Columbia","Educator","M","73","67.724","47","78764"
"District level","2013/2014","Q1","020","Kootenay-Columbia","Teacher","All","232","217.728","46","70696"
"District level","2013/2014","Q1","022","Vernon","Administrator","All","42","42","47","102008"
"District level","2013/2014","Q1","022","Vernon","Administrator","F","22","22","49","100433"
"District level","2013/2014","Q1","022","Vernon","Administrator","M","20","20","46","103657"
"District level","2013/2014","Q1","022","Vernon","Educator","All","530","480.5111","45","74980"
"District level","2013/2014","Q1","022","Vernon","Educator","F","349","310.3327","45","73466"
"District level","2013/2014","Q1","022","Vernon","Teacher","All","489","438.5111","45","72811"
"District level","2013/2014","Q1","022","Vernon","Teacher","F","327","288.3327","44","71836"
"District level","2013/2014","Q1","022","Vernon","Teacher","M","162","150.1784","45","74875"
"District level","2013/2014","Q1","023","Central Okanagan","Administrator","All","89","89","47","104231"
"District level","2013/2014","Q1","023","Central Okanagan","Administrator","F","32","32","49","103326"
"District level","2013/2014","Q1","023","Central Okanagan","Administrator","M","57","57","45","104739"
"District level","2013/2014","Q1","023","Central Okanagan","Educator","All","1340","1267.4168","44","72603"
"District level","2013/2014","Q1","023","Central Okanagan","Educator","F","939","872.0654","43","70443"
"District level","2013/2014","Q1","023","Central Okanagan","Teacher","All","1251","1178.4168","43","70353"
"District level","2013/2014","Q1","023","Central Okanagan","Teacher","F","907","840.0654","43","69283"
"District level","2013/2014","Q1","027","Cariboo-Chilcotin","Administrator","All","54","39","47","97610"
"District level","2013/2014","Q1","027","Cariboo-Chilcotin","Administrator","F","24","14","43","91817"
"District level","2013/2014","Q1","027","Cariboo-Chilcotin","Administrator","M","30","25","49","100854"
"District level","2013/2014","Q1","027","Cariboo-Chilcotin","Educator","F","270","235.413","45","67125"
"District level","2013/2014","Q1","027","Cariboo-Chilcotin","Educator","M","109","102.421","46","77964"
"District level","2013/2014","Q1","027","Cariboo-Chilcotin","Teacher","All","325","298.834","45","67105"
"District level","2013/2014","Q1","027","Cariboo-Chilcotin","Teacher","F","246","221.413","45","65937"
"District level","2013/2014","Q1","027","Cariboo-Chilcotin","Teacher","M","79","77.421","45","71151"
"District level","2013/2014","Q1","028","Quesnel","Administrator","All","23","23","48","103596"
"District level","2013/2014","Q1","028","Quesnel","Administrator","F","11","11","50","106050"
"District level","2013/2014","Q1","028","Quesnel","Administrator","M","12","12","47","101347"
"District level","2013/2014","Q1","028","Quesnel","Teacher","All","230","214.6923","46","70349"
"District level","2013/2014","Q1","028","Quesnel","Teacher","M","55","52.7139","48","74050"
"District level","2013/2014","Q1","033","Chilliwack","Administrator","All","62","62","46","89913"
"District level","2013/2014","Q1","033","Chilliwack","Administrator","M","39","39","46","88664"
"District level","2013/2014","Q1","033","Chilliwack","Educator","All","806","750.4945","44","71585"
"District level","2013/2014","Q1","033","Chilliwack","Educator","F","541","491.7845","43","69882"
"District level","2013/2014","Q1","033","Chilliwack","Educator","M","265","258.71","45","75346"
"District level","2013/2014","Q1","033","Chilliwack","Teacher","All","745","688.4945","43","70267"
"District level","2013/2014","Q1","033","Chilliwack","Teacher","M","227","219.71","45","73260"
"District level","2013/2014","Q1","034","Abbotsford","Administrator","All","88","87","48","104365"
"District level","2013/2014","Q1","034","Abbotsford","Educator","All","1216","1119.733","43","72028"
"District level","2013/2014","Q1","034","Abbotsford","Educator","F","860","769.734","43","70086"
"District level","2013/2014","Q1","034","Abbotsford","Educator","M","356","349.999","45","76820"
"District level","2013/2014","Q1","034","Abbotsford","Teacher","All","1128","1032.733","43","69568"
"District level","2013/2014","Q1","034","Abbotsford","Teacher","F","816","725.734","42","68370"
"District level","2013/2014","Q1","034","Abbotsford","Teacher","M","312","306.999","44","72757"
"District level","2013/2014","Q1","035","Langley","Administrator","All","98","88.8","49","105756"
"District level","2013/2014","Q1","035","Langley","Administrator","F","39","37.8","51","103584"
"District level","2013/2014","Q1","035","Langley","Administrator","M","59","51","48","107417"
"District level","2013/2014","Q1","035","Langley","Educator","M","366","342.542","45","74507"
"District level","2013/2014","Q1","035","Langley","Teacher","F","863","748.0785","44","68104"
"District level","2013/2014","Q1","035","Langley","Teacher","M","307","291.542","44","69627"
"District level","2013/2014","Q1","036","Surrey","Administrator","All","250","249.35","48","102650"
"District level","2013/2014","Q1","036","Surrey","Administrator","M","110","109.35","48","105985"
"District level","2013/2014","Q1","036","Surrey","Educator","All","4539","4130.255","43","71850"
"District level","2013/2014","Q1","036","Surrey","Educator","F","3376","3001.36","43","70403"
"District level","2013/2014","Q1","036","Surrey","Educator","M","1163","1128.895","45","75883"
"District level","2013/2014","Q1","036","Surrey","Teacher","F","3236","2861.36","42","68676"
"District level","2013/2014","Q1","036","Surrey","Teacher","M","1053","1019.545","45","71906"
"District level","2013/2014","Q1","037","Delta","Administrator","F","39","39","50","106735"
"District level","2013/2014","Q1","037","Delta","Administrator","M","35","35","46","108706"
"District level","2013/2014","Q1","037","Delta","Educator","All","1112","995.48","44","73500"
"District level","2013/2014","Q1","037","Delta","Educator","F","829","723.95","45","72387"
"District level","2013/2014","Q1","037","Delta","Teacher","All","1038","921.48","44","71021"
"District level","2013/2014","Q1","037","Delta","Teacher","F","790","684.95","44","70659"
"District level","2013/2014","Q1","037","Delta","Teacher","M","248","236.53","44","72166"
"District level","2013/2014","Q1","038","Richmond","Administrator","All","111","105","50","105637"
"District level","2013/2014","Q1","038","Richmond","Administrator","F","64","61","51","106290"
"District level","2013/2014","Q1","038","Richmond","Administrator","M","47","44","49","104771"
"District level","2013/2014","Q1","038","Richmond","Teacher","All","1357","1179.085","43","70465"
"District level","2013/2014","Q1","038","Richmond","Teacher","M","354","341.385","43","71118"
"District level","2013/2014","Q1","039","Vancouver","Administrator","All","190","184","50","105095"
"District level","2013/2014","Q1","039","Vancouver","Administrator","F","114","112","50","103978"
"District level","2013/2014","Q1","039","Vancouver","Administrator","M","76","72","49","106833"
"District level","2013/2014","Q1","039","Vancouver","Educator","All","3317","3048.0236","45","75146"
"District level","2013/2014","Q1","039","Vancouver","Educator","F","2418","2180.2312","45","74777"
"District level","2013/2014","Q1","039","Vancouver","Educator","M","899","867.7924","46","76131"
"District level","2013/2014","Q1","039","Vancouver","Teacher","All","3127","2864.0236","45","73432"
"District level","2013/2014","Q1","039","Vancouver","Teacher","M","823","795.7924","45","73543"
"District level","2013/2014","Q1","040","New Westminster","Administrator","F","24","17","46","104637"
"District level","2013/2014","Q1","040","New Westminster","Educator","All","453","392.208","45","74440"
"District level","2013/2014","Q1","040","New Westminster","Educator","F","317","271.173","44","73941"
"District level","2013/2014","Q1","040","New Westminster","Educator","M","136","121.035","45","75697"
"District level","2013/2014","Q1","040","New Westminster","Teacher","All","411","364.208","44","72332"
"District level","2013/2014","Q1","040","New Westminster","Teacher","F","293","254.173","44","72326"
"District level","2013/2014","Q1","040","New Westminster","Teacher","M","118","110.035","45","72350"
"District level","2013/2014","Q1","041","Burnaby","Administrator","All","110","87","46","107309"
"District level","2013/2014","Q1","041","Burnaby","Administrator","M","46","43","45","108455"
"District level","2013/2014","Q1","041","Burnaby","Educator","All","1691","1546.5","43","72315"
"District level","2013/2014","Q1","041","Burnaby","Educator","F","1292","1159.81","42","70994"
"District level","2013/2014","Q1","041","Burnaby","Teacher","All","1581","1459.5","43","70482"
"District level","2013/2014","Q1","041","Burnaby","Teacher","M","353","343.69","44","72941"
"District level","2013/2014","Q1","042","Maple Ridge-Pitt Meadows","Administrator","F","31","30","50","103103"
"District level","2013/2014","Q1","042","Maple Ridge-Pitt Meadows","Administrator","M","28","28","47","105685"
"District level","2013/2014","Q1","042","Maple Ridge-Pitt Meadows","Educator","All","926","858.647","45","73585"
"District level","2013/2014","Q1","042","Maple Ridge-Pitt Meadows","Educator","F","641","577.282","44","72077"
"District level","2013/2014","Q1","042","Maple Ridge-Pitt Meadows","Teacher","All","867","800.647","45","71684"
"District level","2013/2014","Q1","042","Maple Ridge-Pitt Meadows","Teacher","F","610","547.282","44","70678"
"District level","2013/2014","Q1","043","Coquitlam","Administrator","All","130","117.4","47","105332"
"District level","2013/2014","Q1","043","Coquitlam","Administrator","F","61","53","48","105868"
"District level","2013/2014","Q1","043","Coquitlam","Administrator","M","69","64.4","46","104895"
"District level","2013/2014","Q1","043","Coquitlam","Educator","All","2097","1885.8939","44","73425"
"District level","2013/2014","Q1","043","Coquitlam","Teacher","All","1967","1768.4939","44","71587"
"District level","2013/2014","Q1","043","Coquitlam","Teacher","F","1422","1241.3176","44","70973"
"District level","2013/2014","Q1","043","Coquitlam","Teacher","M","545","527.1763","45","73186"
"District level","2013/2014","Q1","044","North Vancouver","Administrator","All","83","82.4","48","102546"
"District level","2013/2014","Q1","044","North Vancouver","Administrator","F","45","44.4","48","99499"
"District level","2013/2014","Q1","044","North Vancouver","Administrator","M","38","38","48","106974"
"District level","2013/2014","Q1","044","North Vancouver","Educator","All","1052","928.141","46","75784"
"District level","2013/2014","Q1","044","North Vancouver","Educator","F","766","649.7","46","74544"
"District level","2013/2014","Q1","044","North Vancouver","Educator","M","286","278.441","46","79174"
"District level","2013/2014","Q1","045","West Vancouver","Administrator","All","42","40.9","45","107800"
"District level","2013/2014","Q1","045","West Vancouver","Administrator","M","17","17","43","111759"
"District level","2013/2014","Q1","045","West Vancouver","Educator","All","500","447.7437","43","72408"
"District level","2013/2014","Q1","045","West Vancouver","Educator","F","347","300.924","43","71333"
"District level","2013/2014","Q1","045","West Vancouver","Educator","M","153","146.8197","43","74720"
"District level","2013/2014","Q1","045","West Vancouver","Teacher","All","458","406.8437","43","69617"
"District level","2013/2014","Q1","045","West Vancouver","Teacher","F","322","277.024","43","68945"
"District level","2013/2014","Q1","045","West Vancouver","Teacher","M","136","129.8197","43","71101"
"District level","2013/2014","Q1","046","Sunshine Coast","Administrator","All","20","20","51","102108"
"District level","2013/2014","Q1","046","Sunshine Coast","Administrator","F","10","10","51","96302"
"District level","2013/2014","Q1","046","Sunshine Coast","Administrator","M","10","10","51","108494"
"District level","2013/2014","Q1","046","Sunshine Coast","Educator","All","239","209.7405","47","71059"
"District level","2013/2014","Q1","046","Sunshine Coast","Educator","F","163","139.4625","47","69105"
"District level","2013/2014","Q1","046","Sunshine Coast","Teacher","M","66","60.278","48","71481"
"District level","2013/2014","Q1","047","Powell River","Administrator","All","45","15","43","104393"
"District level","2013/2014","Q1","047","Powell River","Administrator","F","23","8","41","101226"
"District level","2013/2014","Q1","047","Powell River","Administrator","M","22","7","44","108265"
"District level","2013/2014","Q1","047","Powell River","Educator","All","174","129.605","45","75075"
"District level","2013/2014","Q1","047","Powell River","Educator","F","110","82.155","44","72975"
"District level","2013/2014","Q1","047","Powell River","Educator","M","64","47.45","47","79094"
"District level","2013/2014","Q1","047","Powell River","Teacher","All","129","114.605","46","71139"
"District level","2013/2014","Q1","047","Powell River","Teacher","F","87","74.155","45","69867"
"District level","2013/2014","Q1","047","Powell River","Teacher","M","42","40.45","48","73736"
"District level","2013/2014","Q1","048","Sea to Sky","Administrator","All","40","26","54","104091"
"District level","2013/2014","Q1","048","Sea to Sky","Educator","F","239","205.846","45","71682"
"District level","2013/2014","Q1","048","Sea to Sky","Teacher","All","272","237.245","45","69954"
"District level","2013/2014","Q1","048","Sea to Sky","Teacher","F","218","187.846","44","69234"
"District level","2013/2014","Q1","048","Sea to Sky","Teacher","M","54","49.399","47","72954"
"District level","2013/2014","Q1","049","Central Coast","Administrator","All","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","049","Central Coast","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","049","Central Coast","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","049","Central Coast","Educator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","049","Central Coast","Teacher","All","23","19.2","45","66109"
"District level","2013/2014","Q1","049","Central Coast","Teacher","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","049","Central Coast","Teacher","M","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","050","Haida Gwaii","Administrator","All","10","10","46","104997"
"District level","2013/2014","Q1","050","Haida Gwaii","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","050","Haida Gwaii","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","050","Haida Gwaii","Educator","All","59","54.191","44","74883"
"District level","2013/2014","Q1","050","Haida Gwaii","Educator","F","33","29.963","43","73386"
"District level","2013/2014","Q1","050","Haida Gwaii","Teacher","All","49","44.191","44","69864"
"District level","2013/2014","Q1","050","Haida Gwaii","Teacher","F","26","22.963","43","67634"
"District level","2013/2014","Q1","050","Haida Gwaii","Teacher","M","23","21.228","44","72780"
"District level","2013/2014","Q1","051","Boundary","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","051","Boundary","Educator","All","97","89.3684","48","73490"
"District level","2013/2014","Q1","051","Boundary","Educator","F","69","62.511","49","69747"
"District level","2013/2014","Q1","051","Boundary","Educator","M","28","26.8574","47","83757"
"District level","2013/2014","Q1","051","Boundary","Teacher","All","86","78.3684","48","69663"
"District level","2013/2014","Q1","051","Boundary","Teacher","F","65","58.511","49","68661"
"District level","2013/2014","Q1","051","Boundary","Teacher","M","21","19.8574","48","73674"
"District level","2013/2014","Q1","052","Prince Rupert","Administrator","All","19","19","52","108083"
"District level","2013/2014","Q1","052","Prince Rupert","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","052","Prince Rupert","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","052","Prince Rupert","Educator","M","44","40.8","46","76496"
"District level","2013/2014","Q1","052","Prince Rupert","Teacher","F","118","106.6178","47","69920"
"District level","2013/2014","Q1","053","Okanagan Similkameen","Administrator","All","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","053","Okanagan Similkameen","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","053","Okanagan Similkameen","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","053","Okanagan Similkameen","Educator","All","163","151.904","44","72746"
"District level","2013/2014","Q1","053","Okanagan Similkameen","Educator","F","107","99.026","44","71283"
"District level","2013/2014","Q1","053","Okanagan Similkameen","Educator","M","56","52.878","44","75775"
"District level","2013/2014","Q1","053","Okanagan Similkameen","Teacher","All","145","133.904","44","69343"
"District level","2013/2014","Q1","053","Okanagan Similkameen","Teacher","M","47","43.878","44","70658"
"District level","2013/2014","Q1","054","Bulkley Valley","Administrator","All","20","18.8","45","102037"
"District level","2013/2014","Q1","054","Bulkley Valley","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","054","Bulkley Valley","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","054","Bulkley Valley","Educator","All","161","140.5415","45","71704"
"District level","2013/2014","Q1","054","Bulkley Valley","Educator","F","109","94.1226","45","69356"
"District level","2013/2014","Q1","054","Bulkley Valley","Educator","M","52","46.4189","45","77152"
"District level","2013/2014","Q1","054","Bulkley Valley","Teacher","F","102","86.1226","45","67437"
"District level","2013/2014","Q1","054","Bulkley Valley","Teacher","M","40","35.6189","46","69664"
"District level","2013/2014","Q1","057","Prince George","Administrator","All","64","64","47","101767"
"District level","2013/2014","Q1","057","Prince George","Administrator","F","32","32","47","99925"
"District level","2013/2014","Q1","057","Prince George","Administrator","M","32","32","48","103725"
"District level","2013/2014","Q1","057","Prince George","Educator","All","851","789.4123","43","69962"
"District level","2013/2014","Q1","057","Prince George","Educator","F","613","559.9169","43","68617"
"District level","2013/2014","Q1","057","Prince George","Educator","M","238","229.4954","44","73833"
"District level","2013/2014","Q1","057","Prince George","Teacher","F","581","527.9169","43","67145"
"District level","2013/2014","Q1","057","Prince George","Teacher","M","206","197.4954","44","69692"
"District level","2013/2014","Q1","058","Nicola-Similkameen","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","058","Nicola-Similkameen","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","058","Nicola-Similkameen","Educator","All","151","146.525","45","72393"
"District level","2013/2014","Q1","058","Nicola-Similkameen","Educator","M","54","53.175","45","76403"
"District level","2013/2014","Q1","058","Nicola-Similkameen","Teacher","F","90","86.35","44","68694"
"District level","2013/2014","Q1","058","Nicola-Similkameen","Teacher","M","45","44.175","45","71285"
"District level","2013/2014","Q1","059","Peace River South","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","059","Peace River South","Educator","All","247","235.228","43","73622"
"District level","2013/2014","Q1","059","Peace River South","Educator","F","197","185.328","42","72324"
"District level","2013/2014","Q1","059","Peace River South","Educator","M","50","49.9","45","78632"
"District level","2013/2014","Q1","059","Peace River South","Teacher","All","211","199.228","42","68539"
"District level","2013/2014","Q1","059","Peace River South","Teacher","F","170","158.328","41","67591"
"District level","2013/2014","Q1","059","Peace River South","Teacher","M","41","40.9","46","72375"
"District level","2013/2014","Q1","060","Peace River North","Administrator","All","40","39.8","48","102050"
"District level","2013/2014","Q1","060","Peace River North","Educator","All","389","363.7324","43","70798"
"District level","2013/2014","Q1","060","Peace River North","Educator","F","273","252.1022","42","68655"
"District level","2013/2014","Q1","060","Peace River North","Educator","M","116","111.6302","43","75954"
"District level","2013/2014","Q1","060","Peace River North","Teacher","All","349","323.9324","42","67248"
"District level","2013/2014","Q1","060","Peace River North","Teacher","M","92","87.6302","42","68617"
"District level","2013/2014","Q1","061","Greater Victoria","Administrator","All","111","110.6","50","100557"
"District level","2013/2014","Q1","061","Greater Victoria","Administrator","F","61","61","51","98238"
"District level","2013/2014","Q1","061","Greater Victoria","Administrator","M","50","49.6","48","103313"
"District level","2013/2014","Q1","061","Greater Victoria","Educator","All","1288","1147.795","44","70944"
"District level","2013/2014","Q1","061","Greater Victoria","Educator","F","889","767.619","44","69473"
"District level","2013/2014","Q1","061","Greater Victoria","Educator","M","399","380.176","45","74486"
"District level","2013/2014","Q1","061","Greater Victoria","Teacher","F","828","706.619","44","67722"
"District level","2013/2014","Q1","061","Greater Victoria","Teacher","M","349","330.576","44","70695"
"District level","2013/2014","Q1","062","Sooke","Administrator","All","64","63","47","99763"
"District level","2013/2014","Q1","062","Sooke","Administrator","F","36","35","48","98445"
"District level","2013/2014","Q1","062","Sooke","Administrator","M","28","28","46","101344"
"District level","2013/2014","Q1","062","Sooke","Educator","M","172","162.863","43","74409"
"District level","2013/2014","Q1","062","Sooke","Teacher","All","546","504.707","43","68910"
"District level","2013/2014","Q1","062","Sooke","Teacher","F","402","369.844","43","68744"
"District level","2013/2014","Q1","063","Saanich","Administrator","All","74","41","45","105224"
"District level","2013/2014","Q1","063","Saanich","Administrator","F","50","22","44","103437"
"District level","2013/2014","Q1","063","Saanich","Administrator","M","24","19","47","107387"
"District level","2013/2014","Q1","063","Saanich","Educator","All","533","450.592","44","72562"
"District level","2013/2014","Q1","063","Saanich","Educator","F","383","314.769","44","71155"
"District level","2013/2014","Q1","063","Saanich","Teacher","M","126","116.823","44","72164"
"District level","2013/2014","Q1","064","Gulf Islands","Administrator","All","20","19.8","50","94668"
"District level","2013/2014","Q1","064","Gulf Islands","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","064","Gulf Islands","Administrator","M","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","064","Gulf Islands","Educator","All","141","123.3873","48","71771"
"District level","2013/2014","Q1","064","Gulf Islands","Educator","F","97","82.473","49","70766"
"District level","2013/2014","Q1","064","Gulf Islands","Teacher","All","121","103.5873","48","68322"
"District level","2013/2014","Q1","064","Gulf Islands","Teacher","F","84","69.673","48","68088"
"District level","2013/2014","Q1","064","Gulf Islands","Teacher","M","37","33.9143","46","68952"
"District level","2013/2014","Q1","067","Okanagan Skaha","Administrator","All","37","37","46","101672"
"District level","2013/2014","Q1","067","Okanagan Skaha","Educator","All","392","362.875","45","73781"
"District level","2013/2014","Q1","067","Okanagan Skaha","Educator","M","138","130.051","45","77341"
"District level","2013/2014","Q1","067","Okanagan Skaha","Teacher","All","355","325.875","44","71192"
"District level","2013/2014","Q1","067","Okanagan Skaha","Teacher","F","242","220.824","44","70779"
"District level","2013/2014","Q1","067","Okanagan Skaha","Teacher","M","113","105.051","45","72143"
"District level","2013/2014","Q1","068","Nanaimo-Ladysmith","Administrator","All","65","65","50","104783"
"District level","2013/2014","Q1","068","Nanaimo-Ladysmith","Administrator","M","34","34","49","106526"
"District level","2013/2014","Q1","068","Nanaimo-Ladysmith","Educator","All","839","772.554","46","73182"
"District level","2013/2014","Q1","068","Nanaimo-Ladysmith","Educator","F","581","525.064","46","71617"
"District level","2013/2014","Q1","068","Nanaimo-Ladysmith","Teacher","All","774","707.554","46","70802"
"District level","2013/2014","Q1","068","Nanaimo-Ladysmith","Teacher","F","550","494.064","46","70054"
"District level","2013/2014","Q1","068","Nanaimo-Ladysmith","Teacher","M","224","213.49","47","72709"
"District level","2013/2014","Q1","069","Qualicum","Administrator","All","28","28","51","101019"
"District level","2013/2014","Q1","069","Qualicum","Administrator","M","12","12","50","103129"
"District level","2013/2014","Q1","069","Qualicum","Educator","F","190","172.873","46","71688"
"District level","2013/2014","Q1","069","Qualicum","Educator","M","89","87.322","48","78096"
"District level","2013/2014","Q1","069","Qualicum","Teacher","All","251","232.195","46","70525"
"District level","2013/2014","Q1","069","Qualicum","Teacher","F","174","156.873","46","69150"
"District level","2013/2014","Q1","070","Pacific Rim","Administrator","All","28","28","45","100817"
"District level","2013/2014","Q1","070","Pacific Rim","Administrator","F","11","11","45","99996"
"District level","2013/2014","Q1","070","Pacific Rim","Administrator","M","17","17","44","101349"
"District level","2013/2014","Q1","070","Pacific Rim","Educator","F","184","169.2551","42","68991"
"District level","2013/2014","Q1","070","Pacific Rim","Educator","M","80","78.6414","46","77377"
"District level","2013/2014","Q1","070","Pacific Rim","Teacher","All","236","219.8965","43","68250"
"District level","2013/2014","Q1","070","Pacific Rim","Teacher","F","173","158.2551","42","67147"
"District level","2013/2014","Q1","070","Pacific Rim","Teacher","M","63","61.6414","47","71295"
"District level","2013/2014","Q1","071","Comox Valley","Administrator","All","49","49","49","100956"
"District level","2013/2014","Q1","071","Comox Valley","Administrator","F","22","22","49","99369"
"District level","2013/2014","Q1","071","Comox Valley","Educator","All","539","492.7293","46","73768"
"District level","2013/2014","Q1","071","Comox Valley","Educator","F","371","329.659","46","71894"
"District level","2013/2014","Q1","071","Comox Valley","Educator","M","168","163.0703","47","77894"
"District level","2013/2014","Q1","071","Comox Valley","Teacher","All","490","443.7293","46","70999"
"District level","2013/2014","Q1","071","Comox Valley","Teacher","M","141","136.0703","46","73067"
"District level","2013/2014","Q1","072","Campbell River","Administrator","F","18","18","48","93639"
"District level","2013/2014","Q1","072","Campbell River","Educator","All","354","325.8935","46","72092"
"District level","2013/2014","Q1","072","Campbell River","Educator","F","252","228.325","45","70837"
"District level","2013/2014","Q1","072","Campbell River","Educator","M","102","97.5685","46","75180"
"District level","2013/2014","Q1","072","Campbell River","Teacher","All","318","289.8935","45","69175"
"District level","2013/2014","Q1","073","Kamloops-Thompson","Administrator","All","73","72.29","49","103068"
"District level","2013/2014","Q1","073","Kamloops-Thompson","Administrator","F","27","26.29","49","99986"
"District level","2013/2014","Q1","073","Kamloops-Thompson","Administrator","M","46","46","49","105165"
"District level","2013/2014","Q1","073","Kamloops-Thompson","Educator","All","930","852.3334","44","74845"
"District level","2013/2014","Q1","073","Kamloops-Thompson","Educator","M","264","256.8282","45","79409"
"District level","2013/2014","Q1","073","Kamloops-Thompson","Teacher","F","639","569.2152","44","71674"
"District level","2013/2014","Q1","073","Kamloops-Thompson","Teacher","M","218","210.8282","44","73952"
"District level","2013/2014","Q1","074","Gold Trail","Administrator","All","14","14.0299","49","97122"
"District level","2013/2014","Q1","074","Gold Trail","Administrator","F","Msk","Msk","Msk","Msk"
"District level","2013/2014","Q1","074","Gold Trail","Educator","All","98","97.2549","45","72469"
"District level","2013/2014","Q1","074","Gold Trail","Educator","F","73","72.5049","45","73205"
